Config,Model,n,CV_scheme,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,n_folds
A_P1,Ridge,88,standard_5fold,0.9109726400504513,0.02948923822549624,12.865300173484382,2.4188858702073848,18.259056584257902,3.6997902384298644,5
A_P1,Ridge,88,grouped_5fold,-1.66449204686915,4.627435036322865,18.783096117966004,4.740007811864776,27.6069926435122,9.111146675286319,5
A_P1,RandomForest,88,standard_5fold,0.9735172478866698,0.018978260987766248,4.923623564429325,2.587979498051342,10.016409915336176,4.769597066581473,5
A_P1,RandomForest,88,grouped_5fold,0.44762730486801894,0.33449144455147334,16.76231577158161,10.363806830647562,29.69190666404183,18.76288928785835,5
A_P1,XGBoost,88,standard_5fold,0.9827269838219601,0.009391240043183428,3.94569625777783,1.5800461147669989,7.925495529355042,3.098028050937969,5
A_P1,XGBoost,88,grouped_5fold,0.3720192817192852,0.3876848088382117,17.80963948134246,10.266868806721442,31.736571558137417,18.9782234843932,5
A_P1,CatBoost,88,standard_5fold,0.9645928645052569,0.03890798244326513,5.42784476214575,3.2045394645190095,10.888474016293216,7.5695151182622515,5
A_P1,CatBoost,88,grouped_5fold,0.5714573586620582,0.19112531296378368,15.664454472599576,10.235346731889498,27.860581438154462,19.319384287704978,5
B_P2,Ridge,180,standard_5fold,0.6979325800915801,0.04874706378011072,36.203212711205936,2.1452077919631933,52.9794806085208,4.725407999366279,5
B_P2,Ridge,180,grouped_5fold,-3.8012153404055695,6.6395744918616435,49.77698867673481,19.256647179443476,68.98708576986083,36.61763179872513,5
B_P2,RandomForest,180,standard_5fold,0.9649299121916858,0.015835980426087682,11.256437037037092,1.4107429460957177,17.25555200993076,2.425342008309063,5
B_P2,RandomForest,180,grouped_5fold,-0.235816033202744,1.0930750152807915,45.25047222222222,37.143275889535346,64.9637769473627,55.29047276043304,5
B_P2,XGBoost,180,standard_5fold,0.9691048273639437,0.01390512475877136,9.312227095315857,2.5049138672573843,16.077629103916284,3.814368789441326,5
B_P2,XGBoost,180,grouped_5fold,0.11683285632991477,0.26483733018863803,37.00613581617673,28.806131348441202,52.911756297023466,42.585819946724676,5
B_P2,CatBoost,180,standard_5fold,0.9659699666875389,0.016025805199372523,9.06823598532604,2.4172758879610767,17.213725701265286,5.308905658677631,5
B_P2,CatBoost,180,grouped_5fold,0.268554309223902,0.12229813929554627,35.513629771053935,29.36560104928417,50.52894686897196,43.682531789909994,5
C_P3,Ridge,34,standard_5fold,-3.442960669418059,3.0866671993560586,90.3890993633433,45.6325208712655,135.9089590259692,102.4572209474937,5
C_P3,Ridge,34,grouped_5fold,-5.0608007354792575,6.514685486290689,88.9619942248992,39.942281504263605,134.44325633482597,102.78332045686423,5
C_P3,RandomForest,34,standard_5fold,-3.5476480952469855,4.826634495202524,81.1534165585306,54.58120860636335,133.2531080440833,111.26672453094626,5
C_P3,RandomForest,34,grouped_5fold,-9.239203438952263,16.3494145544138,79.9161758810927,42.218190214364256,140.50089934255666,112.12839078794799,5
C_P3,XGBoost,34,standard_5fold,-9.535979003255976,19.10072367906665,79.81888879239715,65.79006171519543,153.43742161572894,147.06065400348163,5
