Model,CV_scheme,P1P2_R2,P1P2P3_R2,P1P2_MAE,P1P2P3_MAE,R2_change_from_adding_P3,MAE_change_from_adding_P3
Ridge,standard_5fold,0.719453896607547,0.4978455491663703,28.271712298370993,35.75688980499997,-0.2216083474411767,7.485177506628979
RandomForest,standard_5fold,0.9410073512125152,0.6203693632148477,11.62495511058837,17.021429228146957,-0.3206379879976675,5.396474117558586
XGBoost,standard_5fold,0.9641919234494889,0.3638712630041711,8.150933187235392,15.453197931902816,-0.6003206604453177,7.302264744667424
CatBoost,standard_5fold,0.9710036345449062,0.607911728281049,7.192124200551132,14.858252704141231,-0.36309190626385723,7.666128503590099
Ridge,grouped_5fold,-0.31858827977255955,-0.985427360433585,35.0856949205598,42.15356526183904,-0.6668390806610255,7.067870341279239
RandomForest,grouped_5fold,-0.1689824770651322,0.05652279233451567,35.13166252346652,36.51274869349007,0.22550526939964788,1.3810861700235506
XGBoost,grouped_5fold,0.40382538432432363,0.05159896567452273,28.486418659540455,35.2392967862162,-0.3522264186498009,6.752878126675746
CatBoost,grouped_5fold,0.4206028560042153,0.041029727823077386,29.28984169879218,32.82750278853873,-0.3795731281811379,3.5376610897465497
