Study,n,r_CR_vs_Temp,r_CR_vs_Time,r_CR_vs_Dose,Dose_Unit
P1-DoE-Blend,28,,0.5982275249539298,,mL_blend
P1-Temperature,30,0.9068199979676724,,-0.24112343172624648,ppm
P1-Time,30,,-0.013925335599360546,-0.6961994240226882,ppm
P2-Temperature,90,0.7701625043049038,,-0.17014448209997607,ppm
P2-Time,90,,-0.22266034862187006,-0.5868214404607016,ppm
P3-Okro-Acid,17,0.3364190817845677,,-0.34989891658703925,ppm
P3-Okro-Basic,17,-0.3767628314864299,,0.04962944454986531,ppm
