Train_phases,Test_phase,Model,Train_n,Test_n,R2,MAE,RMSE,Train_CR_mean,Train_CR_std,Test_CR_mean,Test_CR_std,Test_has_unseen_Inhibitor_System
P1+P2,P3,Ridge,268,34,-0.4033312810996237,96.71397507220092,174.90187662790441,54.654356341509384,90.77882707161812,77.82285492000001,149.86383946419159,True
P1+P2,P3,RandomForest,268,34,-0.3427632261207916,93.36371251372796,171.0858475980032,54.654356341509384,90.77882707161812,77.82285492000001,149.86383946419159,True
P1+P2,P3,XGBoost,268,34,-0.3598109485756449,92.8013813797728,172.16847517067842,54.654356341509384,90.77882707161812,77.82285492000001,149.86383946419159,True
P1+P2,P3,CatBoost,268,34,-0.23561933697822957,83.66538611745587,164.11818840483573,54.654356341509384,90.77882707161812,77.82285492000001,149.86383946419159,True
P1+P3,P2,Ridge,122,180,0.10122478979462857,61.29307886705312,94.4696847188296,47.876594809873076,97.58536005172019,63.62444444444445,99.92557600491025,True
P1+P3,P2,RandomForest,122,180,0.3318251489681886,40.635921349830795,81.45391930969208,47.876594809873076,97.58536005172019,63.62444444444445,99.92557600491025,True
P1+P3,P2,XGBoost,122,180,0.40019438469880786,40.028407827350826,77.17420901144473,47.876594809873076,97.58536005172019,63.62444444444445,99.92557600491025,True
P1+P3,P2,CatBoost,122,180,0.3242885668837042,43.271263845198895,81.91200508459133,47.876594809873076,97.58536005172019,63.62444444444445,99.92557600491025,True
P2+P3,P1,Ridge,214,88,0.5680886039171448,34.18616884378426,42.54803783260626,65.88026666953272,109.07753350338676,36.30644885823312,65.11243170492824,True
P2+P3,P1,RandomForest,214,88,0.2126869111002755,39.99831666535489,57.44549035458091,65.88026666953272,109.07753350338676,36.30644885823312,65.11243170492824,True
P2+P3,P1,XGBoost,214,88,0.4484383849943462,29.220824075368206,48.08163446324021,65.88026666953272,109.07753350338676,36.30644885823312,65.11243170492824,True
P2+P3,P1,CatBoost,214,88,0.3370726070840211,38.2249203109524,52.71269099554909,65.88026666953272,109.07753350338676,36.30644885823312,65.11243170492824,True
