Study,Phase_Group,Inhibitor_System,Technique,Medium_Type,Molarity_M,Dose_Value,Dose_Unit,Concentration_ppm,Temp_C,Time_h,CR_mm_yr,IE_percent
P1-Time,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,1.0,150.0,ppm,150.0,,75.0,3.1600533254332728,81.438
P1-Time,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,1.0,200.0,ppm,200.0,,75.0,3.1168004740038553,81.692
P1-Time,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,1.0,250.0,ppm,250.0,,75.0,2.7439608946822664,83.882
P1-Time,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,1.0,0.0,ppm,0.0,,75.0,17.024322322618872,0.0
P1-Time,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,1.0,50.0,ppm,50.0,,100.0,4.049115686564949,75.804
P1-Time,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,1.0,100.0,ppm,100.0,,100.0,3.376317582580361,79.825
P1-Time,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,1.0,150.0,ppm,150.0,,100.0,3.3140334765219945,80.197
P1-Time,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,1.0,200.0,ppm,200.0,,100.0,3.0175351799733408,81.969
P1-Time,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,1.0,250.0,ppm,250.0,,100.0,2.8696104280847248,82.853
P1-Time,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,1.0,0.0,ppm,0.0,,100.0,16.734960746556066,0.0
P1-Time,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,1.0,50.0,ppm,50.0,,125.0,3.9264938527625532,74.589
P1-Time,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,1.0,100.0,ppm,100.0,,125.0,3.7801262035254033,75.536
P1-Time,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,1.0,150.0,ppm,150.0,,125.0,3.4910241445711754,77.407
P1-Time,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,1.0,200.0,ppm,200.0,,125.0,3.3802103392090066,78.124
P1-Time,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,1.0,250.0,ppm,250.0,,125.0,3.1193956450896163,79.812
P1-Time,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,1.0,0.0,ppm,0.0,,125.0,15.451648644645237,0.0
P1-DoE-Blend,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,,15.0,mL_blend,,,25.0,12.4844,68.801
P1-DoE-Blend,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,,15.0,mL_blend,,,15.0,2.02415,84.714
P1-DoE-Blend,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,,15.0,mL_blend,,,15.0,1.88921,85.7331
P1-DoE-Blend,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,,15.0,mL_blend,,,5.0,2.73,86.6111
P1-DoE-Blend,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,,15.0,mL_blend,,,15.0,1.63673,87.6397
P1-DoE-Blend,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,,15.0,mL_blend,,,15.0,1.90662,85.6016
P1-DoE-Blend,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,,15.0,mL_blend,,,25.0,12.9,67.7501
P1-DoE-Blend,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,,15.0,mL_blend,,,11.6667,2.3,86.6111
P1-DoE-Blend,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,,15.0,mL_blend,,,20.0,1.94,82.9303
P1-DoE-Blend,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,,15.0,mL_blend,,,10.0,2.44,84.4037
