Study,Phase_Group,Inhibitor_System,Technique,Medium_Type,Molarity_M,Dose_Value,Dose_Unit,Concentration_ppm,Temp_C,Time_h,CR_mm_yr,IE_percent
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,0.5,450.0,ppm,450.0,,15.0,4.2,74.9
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,0.5,0.0,ppm,0.0,,15.0,16.6,
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.0,50.0,ppm,50.0,,3.0,17.6,34.7
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.0,150.0,ppm,150.0,,3.0,16.5,38.7
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.0,250.0,ppm,250.0,,3.0,8.3,69.4
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.0,350.0,ppm,350.0,,3.0,7.2,73.4
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.0,450.0,ppm,450.0,,3.0,3.0,88.7
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.0,0.0,ppm,0.0,,3.0,27.0,
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.0,50.0,ppm,50.0,,6.0,65.0,35.0
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.0,150.0,ppm,150.0,,6.0,62.0,37.9
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.0,250.0,ppm,250.0,,6.0,33.0,67.0
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.0,350.0,ppm,350.0,,6.0,26.0,74.0
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.0,450.0,ppm,450.0,,6.0,15.0,85.0
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.0,0.0,ppm,0.0,,6.0,99.9,
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.0,50.0,ppm,50.0,,9.0,20.2,31.0
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.0,150.0,ppm,150.0,,9.0,18.7,36.0
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.0,250.0,ppm,250.0,,9.0,9.6,67.0
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.0,350.0,ppm,350.0,,9.0,7.9,73.0
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.0,450.0,ppm,450.0,,9.0,5.6,80.9
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.0,0.0,ppm,0.0,,9.0,29.2,
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.0,50.0,ppm,50.0,,12.0,20.6,25.0
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.0,150.0,ppm,150.0,,12.0,19.4,29.2
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.0,250.0,ppm,250.0,,12.0,10.3,62.5
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.0,350.0,ppm,350.0,,12.0,8.3,69.8
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.0,450.0,ppm,450.0,,12.0,6.9,75.0
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.0,0.0,ppm,0.0,,12.0,27.4,
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.0,50.0,ppm,50.0,,15.0,13.4,28.1
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.0,150.0,ppm,150.0,,15.0,13.0,30.0
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.0,250.0,ppm,250.0,,15.0,6.9,63.0
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.0,350.0,ppm,350.0,,15.0,5.4,71.2
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.0,450.0,ppm,450.0,,15.0,4.3,76.8
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.0,0.0,ppm,0.0,,15.0,18.6,
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.5,50.0,ppm,50.0,,3.0,21.1,21.8
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.5,150.0,ppm,150.0,,3.0,9.8,63.7
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.5,250.0,ppm,250.0,,3.0,6.3,76.6
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.5,350.0,ppm,350.0,,3.0,4.4,83.9
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.5,450.0,ppm,450.0,,3.0,2.0,92.7
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.5,0.0,ppm,0.0,,3.0,27.0,
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.5,50.0,ppm,50.0,,6.0,13.8,47.7
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.5,150.0,ppm,150.0,,6.0,7.4,72.0
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.5,250.0,ppm,250.0,,6.0,5.0,81.1
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.5,350.0,ppm,350.0,,6.0,3.2,88.1
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.5,450.0,ppm,450.0,,6.0,2.1,92.2
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.5,0.0,ppm,0.0,,6.0,26.4,
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.5,50.0,ppm,50.0,,9.0,16.1,44.1
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.5,150.0,ppm,150.0,,9.0,10.1,65.0
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.5,250.0,ppm,250.0,,9.0,7.5,74.1
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.5,350.0,ppm,350.0,,9.0,5.7,80.1
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.5,450.0,ppm,450.0,,9.0,3.1,89.2
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.5,0.0,ppm,0.0,,9.0,28.8,
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.5,50.0,ppm,50.0,,12.0,20.8,39.0
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.5,150.0,ppm,150.0,,12.0,13.3,61.0
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.5,250.0,ppm,250.0,,12.0,11.3,67.0
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.5,350.0,ppm,350.0,,12.0,8.2,76.0
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.5,450.0,ppm,450.0,,12.0,3.4,90.0
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.5,0.0,ppm,0.0,,12.0,34.2,
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.5,50.0,ppm,50.0,,15.0,16.0,36.0
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.5,150.0,ppm,150.0,,15.0,10.0,60.0
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.5,250.0,ppm,250.0,,15.0,7.9,68.3
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.5,350.0,ppm,350.0,,15.0,6.1,75.5
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.5,450.0,ppm,450.0,,15.0,3.9,84.5
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,1.5,0.0,ppm,0.0,,15.0,25.0,
P3-Okro-Acid,P3,Okro Leaf Extract,Tafel (electrochemical),Acid,1.75,50.0,ppm,50.0,30.0,,87.7385,
P3-Okro-Acid,P3,Okro Leaf Extract,Tafel (electrochemical),Acid,1.0,125.0,ppm,125.0,60.0,,78.3086,
P3-Okro-Acid,P3,Okro Leaf Extract,Tafel (electrochemical),Acid,1.0,125.0,ppm,125.0,30.0,,64.4212,
P3-Okro-Acid,P3,Okro Leaf Extract,Tafel (electrochemical),Acid,1.75,50.0,ppm,50.0,60.0,,85.7556,
P3-Okro-Acid,P3,Okro Leaf Extract,Tafel (electrochemical),Acid,1.0,200.0,ppm,200.0,45.0,,37.2908,
P3-Okro-Acid,P3,Okro Leaf Extract,Tafel (electrochemical),Acid,1.75,125.0,ppm,125.0,45.0,,124.736,
P3-Okro-Acid,P3,Okro Leaf Extract,Tafel (electrochemical),Acid,1.75,125.0,ppm,125.0,45.0,,101.784,
P3-Okro-Acid,P3,Okro Leaf Extract,Tafel (electrochemical),Acid,1.75,200.0,ppm,200.0,30.0,,52.043,
P3-Okro-Acid,P3,Okro Leaf Extract,Tafel (electrochemical),Acid,2.5,125.0,ppm,125.0,30.0,,35.0681,
P3-Okro-Acid,P3,Okro Leaf Extract,Tafel (electrochemical),Acid,2.5,200.0,ppm,200.0,45.0,,71.0609,
P3-Okro-Acid,P3,Okro Leaf Extract,Tafel (electrochemical),Acid,2.5,50.0,ppm,50.0,45.0,,94.8582,
P3-Okro-Acid,P3,Okro Leaf Extract,Tafel (electrochemical),Acid,1.75,200.0,ppm,200.0,60.0,,89.793579,
P3-Okro-Acid,P3,Okro Leaf Extract,Tafel (electrochemical),Acid,1.75,125.0,ppm,125.0,45.0,,111.142,
P3-Okro-Acid,P3,Okro Leaf Extract,Tafel (electrochemical),Acid,2.5,125.0,ppm,125.0,60.0,,85.0757,
P3-Okro-Acid,P3,Okro Leaf Extract,Tafel (electrochemical),Acid,1.75,125.0,ppm,125.0,45.0,,101.1982,
P3-Okro-Acid,P3,Okro Leaf Extract,Tafel (electrochemical),Acid,1.75,125.0,ppm,125.0,45.0,,124.123,
P3-Okro-Acid,P3,Okro Leaf Extract,Tafel (electrochemical),Acid,1.0,50.0,ppm,50.0,45.0,,85.492,
P3-Okro-Basic,P3,Okro Leaf Extract,Tafel (electrochemical),Basic,1.75,50.0,ppm,50.0,30.0,,0.00205164,
P3-Okro-Basic,P3,Okro Leaf Extract,Tafel (electrochemical),Basic,1.0,125.0,ppm,125.0,60.0,,0.0889687,
P3-Okro-Basic,P3,Okro Leaf Extract,Tafel (electrochemical),Basic,1.0,125.0,ppm,125.0,30.0,,0.00579794,
P3-Okro-Basic,P3,Okro Leaf Extract,Tafel (electrochemical),Basic,1.75,50.0,ppm,50.0,60.0,,44.9659,
P3-Okro-Basic,P3,Okro Leaf Extract,Tafel (electrochemical),Basic,1.0,200.0,ppm,200.0,45.0,,91.2638,
P3-Okro-Basic,P3,Okro Leaf Extract,Tafel (electrochemical),Basic,1.75,125.0,ppm,125.0,45.0,,2.5651,
P3-Okro-Basic,P3,Okro Leaf Extract,Tafel (electrochemical),Basic,1.75,125.0,ppm,125.0,45.0,,87.6944,
P3-Okro-Basic,P3,Okro Leaf Extract,Tafel (electrochemical),Basic,1.75,200.0,ppm,200.0,30.0,,69.0226,
P3-Okro-Basic,P3,Okro Leaf Extract,Tafel (electrochemical),Basic,2.5,125.0,ppm,125.0,30.0,,885.788,
P3-Okro-Basic,P3,Okro Leaf Extract,Tafel (electrochemical),Basic,2.5,200.0,ppm,200.0,45.0,,4.20204e-13,
P3-Okro-Basic,P3,Okro Leaf Extract,Tafel (electrochemical),Basic,2.5,50.0,ppm,50.0,45.0,,-1.05051e-13,
P3-Okro-Basic,P3,Okro Leaf Extract,Tafel (electrochemical),Basic,1.75,200.0,ppm,200.0,60.0,,8.40407e-13,
P3-Okro-Basic,P3,Okro Leaf Extract,Tafel (electrochemical),Basic,1.75,125.0,ppm,125.0,45.0,,0.0,
P3-Okro-Basic,P3,Okro Leaf Extract,Tafel (electrochemical),Basic,2.5,125.0,ppm,125.0,60.0,,-8.40407e-13,
P3-Okro-Basic,P3,Okro Leaf Extract,Tafel (electrochemical),Basic,1.75,125.0,ppm,125.0,45.0,,-42.0732,
P3-Okro-Basic,P3,Okro Leaf Extract,Tafel (electrochemical),Basic,1.75,125.0,ppm,125.0,45.0,,81.2853,
P3-Okro-Basic,P3,Okro Leaf Extract,Tafel (electrochemical),Basic,1.0,50.0,ppm,50.0,45.0,,-4.52103,
